id,Filename,Type,Label,Student,Dialect,Fraud_Type,Duration_sec,Audio_format,tts_voice,snr,source,version,date_created,asr_confidence,utterances_count,utterance_labels,validator,call_id,asr_text,gt_text,wer
1.0,fraud_call_001.wav,synthetic,Fraud,Albatool,egyptian,identity_theft,51.83,.wav_16k_mono,"Agent: Viraj (Voice ID:P1bg08DkjqiVEzOn76yG), Victim: Ghizlane (Voice ID:u0TsaWvt0v8migutHM3M)",15.0,generated,v1.0,2025-11-08,0.8365384615384616,19,,,1,السلام عليكم يا أفندم أنا من خدمة العملاء في البنك بتاع حضرتك في مشكلة أمنية بتخص حسابك ومحتاجين نحلها فوراً علشان ما يحصلش أي اختراق وعليكم السلام خير يا أفندم فيه إيه؟ حضرتك محتاج تبعتلي رقم البطاقة بتاعتك والرقم السري علشان نتأكد إن كل حاجة تمام ومفيش حد داخله على الحساب أرقام البطاقة والرقم السري يعني هو الحساب فعلاً في خطر؟ آه يا فندم من فضلك بسرعة قبل ما حد يستغل الحساب ده للحفاظ على أمانك طيب أنا مش فاهم مش المفروض البنك يكون عنده المعلومات دي؟ يا فندم ده علشان نقدر نأكد الهوية بتاعتك الموضوع بسيط ومحتاج سرعة قبل ما تحصل مشاكل,السلام عليكم يا أفندم، أنا من خدمة العملاء في البنك بتاع حضرتك. فيه مشكلة أمنية بتخص حسابك ومحتاجين نحلها فوراً علشان ما يحصلش أي اختراق. وعليكم السلام، خير يا فندم فيه إيه؟ حضرتك محتاج تبعتلي رقم البطاقة بتاعتك والرقم السري علشان نتأكد إن كل حاجة تمام وما فيش حد داخله على الحساب. أرقام البطاقة والرقم السري؟ يعني هو الحساب فعلاً في خطر؟ آه يا فندم، من فضلك بسرعة قبل ما حد يستغل الحساب. ده للحفاظ على أمانك. طيب أنا مش فاهم، مش المفروض البنك يكون عنده المعلومات دي؟ يا فندم ده علشان نقدر نأكّد الهوية بتاعتك. الموضوع بسيط ومحتاج سرعة قبل ما تحصل مشاكل.,0.16346153846153846
2.0,fraud_call_002.wav,synthetic,Fraud,Albatool,gulf,bank_credentials,47.86,.wav_16k_mono,"Agent: Viraj (Voice ID:P1bg08DkjqiVEzOn76yG), Victim: Ghizlane (Voice ID:u0TsaWvt0v8migutHM3M)",10.0,generated,v1.0,2025-11-08,0.7073170731707317,12,,,2,ألو، السلام عليكم، معاك موظف من خدمة العملاء في البنك بسرعة، لازم أتكلم معاك عن حسابك وعليكم السلام، خير شالسالفة صار في محاولة اختراق لحسابك، عشان نحميك، لازم تعطيني رقم الحساب وكلمة السر حالاً واي، كيف صار هذا؟ طيب حسابي هو ألن عشرين ثلاثة اربعة خمسة ست، وننسى كلمات السر ودي، شو المطلوب الحين بالضبط؟ تمام أعطيني رقم بطاقة الصراف وتاريخ انتهاءها عشان نوقف المحاولة حالاً لحظة فيني شك كيف أتأكد أنك من البنك فعلاً؟ ما عندنا وقت انتبه ترى ممكن تضيع كل فلوسك بسرعة رقم البطاقة,ألو! السلام عليكم، معاك موظف من خدمة العملاء في البنك بسرعة لازم أتكلم معك عن حسابك. وعليكم السلام، خير شالسالفة؟ صار في محاولة اختراق لحسابك، عشان نحميك لازم تعطيني رقم الحساب وكلمة السر حالاً. واي! كيف صار هذا؟ طيب حسابي هو 123456، وننسى كلمات السر ودي. شو المطلوب ألحين بالضبط؟ تمام، عطيني رقم بطاقة الصراف وتاريخ انتهاءها عشان نوقف المحاولة حالاً. لحظة، فيني شك. كيف أتأكد أنك من البنك فعلاً؟ ما عندنا وقت، انتبه ترى ممكن تضيع كل فلوسك! بسرعة رقم البطاقة!,0.2926829268292683
3.0,fraud_call_003.wav,synthetic,Fraud,Albatool,gulf,phishing,71.35,.wav_16k_mono,"Agent: Viraj (Voice ID:P1bg08DkjqiVEzOn76yG), Victim: Ghizlane (Voice ID:u0TsaWvt0v8migutHM3M)",0.0,generated,v1.0,2025-11-08,0.5,26,,,3,آلو، السلام عليكم معاك سيف من البنك فيه مشكلة طارئة بحسابك ونحتاج نتأكد من بعض المعلومات فوراً وعليكم السلام شفيه الحساب؟ شو صار؟ نحتاج التأكد من رقم البطاقة ورقم السري عشان نحمي حسابك من أي عمليات غير مصرح بها ممكن تعطيني هالمعلومات الحين؟ أوه، زين، لحظة بس الحين أعطيك الرقم البطاقة بس هذا آمن صح؟ إيه أكيد آمن إحنا هنا لخدمتك والحماية حسابك لازم نتصرف بسرعة طيب رقمي هو ألف نمع بحام وموحة ثاناثة الولد معه خمسة كم سبعة ثم سبعة نمع تسري وواحد نعام ثلاثة أربعة خمسة ست والرقم السري سبعة ثم وخمسة تتن وحفن ممتاز، شكرا لك، بالحين بنأكد إن الحساب محمي، لو سمحت لا تتردد تتصل فينا لو صار أي شيء شكرا لكم، ارتحت الحين,الو، السلام عليكم. معاك سيف من البنك. فيه مشكلة طارئة بحسابك ونحتاج نتأكد من بعض المعلومات فورًا. وعليكم السلام. شفيه الحساب؟ شصار؟ نحتاج التأكد من رقم البطاقة ورقم السري عشان نحمي حسابك من أي عمليات غير مصرح بها. ممكن تعطيني هالمعلومات الحين؟ أوه، زين، لحظة بس. الحين أعطيك الرقم البطاقة. بس هذا آمن صح؟ إيه، أكيد آمن. إحنا هنا لخدمتك ولحماية حسابك. لازم نتصرف بسرعة. طيب، رقمي هو 1234-5678-9012-3456 والرقم السري 7890. ممتاز، شكرًا لك. بالحين بنأكد إن الحساب محمي. لو سمحت لا تتردد تتصل فينا لو صار أي شيء. شكراً لكم، ارتحت الحين.,0.5
4.0,fraud_call_004.wav,synthetic,Fraud,Albatool,egyptian,phishing,38.02,.wav_16k_mono,"Agent: Viraj (Voice ID:P1bg08DkjqiVEzOn76yG), Victim: Ghizlane (Voice ID:u0TsaWvt0v8migutHM3M)",10.0,generated,v1.0,2025-11-08,0.640625,8,,,4,ألو، مساء الخير إحنا من البنك وبنراجع بيانات حسابك بسبب عملية غير معتادة إيه؟ عملية إيه؟ أنا ما طمنتش كده عشان نحمي حسابك، لازم تأكد لنا رقم البطاقة وأي رموز تجيلك دلوقتي حالاً طيب، لحظة أشوف الرسائل اللي جات لي ما تتخريش، الموضوع مستعجل وممكن الحساب بيتعرض للخطر لو ما تصرفناش الرسالة فيها رقم هو ذا اللي عايز تعرفه أيوة ابعاتي لي الرقم نقدر نحمي بي حسابك فورا,ألو، مساء الخير. إحنا من البنك وبنراجع بيانات حسابك بسبب عملية غير معتادة. إيه! عملية إيه؟ أنا مطمنتش كدة. عشان نحمي حسابك، لازم تأكد لنا رقم البطاقة وأي رموز تجيلك دلوقتي حالاً. طيب، لحظة أشوف الرسائل اللي جات لي. ماتتاخريش، الموضوع مُستعجل وممكن الحساب يتعرض للخطر لو ماتصرفناش. الرسالة فيها رقم، هوا ده اللي عايز تعرفه؟ أيوة، ابعتيلي الرقم نقدر نحمي بيه حسابك فوراً.,0.359375
5.0,fraud_call_005.wav,synthetic,Fraud,Albatool,levantine,phishing,29.52,.wav_16k_mono,"Agent: Viraj (Voice ID:P1bg08DkjqiVEzOn76yG), Victim: Ghizlane (Voice ID:u0TsaWvt0v8migutHM3M)",10.0,generated,v1.0,2025-11-08,0.8301886792452831,9,,,5,مرحبا، معك سمير من خدمة العملاء في البنك لازم نحكي ضروري بخصوص حسابك أهلين، شو في مشكلة؟ في حركة مشبوهة على حسابك ولازم نأكد المعلومات اليوم قبل ما يتعرض للإغلاق يا لطيف، شو لازم أعمل هلأ؟ بدي منك رقم الحساب ورقم بطاقة الاعتمان بمعلومات الأمان بسرعة طيب، أعطيني دقيقة أجيب البطاقة وأعطيك التفاصيل,مرحبا، معك سمير من خدمة العملاء في البنك. لازم نحكي ضروري بخصوص حسابك. أهلين، شو في مشكلة؟ في حركة مشبوهة على حسابك ولزم نأكد المعلومات اليوم قبل ما يتعرض للإغلاق. يا لطيف! شو لازم أعمل هلأ؟ بدي منك رقم الحساب ورقم بطاقة الائتمان بمعلومات الأمان، بسرعة. طيب، أعطيني دقيقة أجيب البطاقة وأعطيك التفاصيل.,0.16981132075471697
6.0,fraud_call_006.wav,synthetic,Fraud,Albatool,gulf,customer_service_fraud,47.24,.wav_16k_mono,"Agent: Viraj (Voice ID:P1bg08DkjqiVEzOn76yG), Victim: Ghizlane (Voice ID:u0TsaWvt0v8migutHM3M)",15.0,generated,v1.0,2025-11-08,0.7951807228915663,14,,,6,السلام عليكم، معاك خدمة العملاء ضروري نتأكد من بيانات حسابك علشان فيه تحديثات عاجلة عليكم السلام، شنو البيانات اللي تحتاجونها؟ نحتاج منك الرقم السري لحسابك علشان نوافق التحديث الرقم السري؟ أنا ما عمري سمعت إنهم يطلبونه بالتليفون أفهمك، لكن هالمرة الوضع مختلف فيه تغييرات أمنية، ولازم نتأكد بسرعة أنا خايف يكون في نصب ممكن أتأكد من هالشيء من مكان ثاني لازم اليوم تكون التحديثات أو حسابك بيتوقف لفترة الأفضل تسويها الحين طيب بس أنا للحين مو مرتاح ممكن تتواصل معي من رقم آخر؟,السلام عليكم، معاك خدمة العملاء. ضروري نتأكد من بيانات حسابك علشان فيه تحديثات عاجلة. وعليكم السلام، شنو البيانات اللي تحتاجونها؟ نحتاج منك الرقم السري لحسابك علشان نوثق التحديث. الرقم السري؟ أنا ما عمري سمعت إنهم يطلبونه بالتلفون. أفهمك، لكن هالمرة الوضع مختلف. فيه تغييرات أمنية ولازم نتأكد بسرعة. أنا خايف يكون فيه نصب. ممكن أتأكد من هالشيء من مكان ثاني؟ لازم اليوم تكون التحديثات، أو حسابك بيتوقف لفترة. الأفضل تسويها الحين. طيب، بس أنا للحين مو مرتاح. ممكن تتواصل معي من رقم آخر؟,0.20481927710843373
7.0,fraud_call_007.wav,synthetic,Fraud,Albatool,gulf,bank_credentials,48.99,.wav_16k_mono,"Agent: Viraj (Voice ID:P1bg08DkjqiVEzOn76yG), Victim: Ghizlane (Voice ID:u0TsaWvt0v8migutHM3M)",20.0,generated,v1.0,2025-11-08,0.726027397260274,12,,,7,السلام عليكم، هلا والله؟ معاك مندوب من البنك ويتعلق الموضوع بإحسابك ضروري تأكد بياناتك حالياً وعليكم السلام، خير إن شاء الله، وش صاير؟ في تحويلات مشبوهة على إحسابك، لازم نحميه الآن عطينا رقم البطاقة ورقم الهوية بأسرع وقت أوه لا، طيب، هذه مشكلة لكن لازم أتأكد أول إذا كنت من البنك ما فيه وقت كثير لتأكد إذا مبادرنا الحين ممكن تخسر كل شي بحسابك خلاص رقم بطاقتي هو بل يتحمونه بسرعة,السلام عليكم، هلا والله. معاك مندوب من البنك ويتعلق الموضوع بحسابك. ضروري تأكد بياناتك حالياً. وعليكم السلام، خير إن شاء الله، وش صاير؟ في تحويلات مشبوهة على حسابك، لازم نحميه الآن. عطنا رقم البطاقة ورقم الهوية بأسرع وقت. أوه لا، طيب، هذي مشكلة! لكن لازم أتأكد أول إذا كنت من البنك. ما فيه وقت كثير للتأكد. إذا ما بادرنا الحين، ممكن تخسر كل شي بحسابك. خلاص، رقم بطاقتي هو XXXX-XXXX-XXXX-XXXX. بلكي تحمونه بسرعة.,0.273972602739726
8.0,fraud_call_008.wav,synthetic,Fraud,Albatool,gulf,phishing,45.11,.wav_16k_mono,"Agent: Viraj (Voice ID:P1bg08DkjqiVEzOn76yG), Victim: Ghizlane (Voice ID:u0TsaWvt0v8migutHM3M)",20.0,generated,v1.0,2025-11-08,0.7142857142857143,11,,,8,السلام عليكم، معك خالد من خدمة العملاء بالبنك نحتاج نتحقق من معلومات حسابك بسرعة لأمان الحساب وعليكم السلام، خير إن شاء الله، شصاير بالحساب؟ في حركة غريبة بالرصيد من فضلك، عطينا الرقم السري اللي يصلك على الجوال عشان نسوي التحقق أوكي، دقيقة، بس يعني لازم الحين إيه لازم الحين؟ الوضع مستعجل؟ إذا ما سوينا التحقق ممكن الحساب يتقفل طيب وصل للحين الرقم هو تمام شكرا لك بنحل المشكلة حالا,السلام عليكم، معك خالد من خدمة العملاء بالبنك. نحتاج نتحقق من معلومات حسابك بسرعة لأمان الحساب. وعليكم السلام، خير إن شاء الله؟ شصاير بالحساب؟ في حركة غريبة بالرصيد. من فضلك، عطنا الرقم السري اللي يصلك على الجوال عشان نسوي التحقق. أوكي، دقيقة، بس يعني لازم الحين؟ إيه لازم الحين، الوضع مستعجل. إذا ما ساوينا التحقق، ممكن الحساب يتقفل. طيب، وصلي الحين. الرقم هو 123456. تمام، شكراً لك. بنحل المشكلة حالاً.,0.2857142857142857
9.0,fraud_call_009.wav,synthetic,Fraud,Albatool,msa,identity_theft,60.66,.wav_16k_mono,"Agent: Viraj (Voice ID:P1bg08DkjqiVEzOn76yG), Victim: Ghizlane (Voice ID:u0TsaWvt0v8migutHM3M)",0.0,generated,v1.0,2025-11-08,0.8666666666666667,11,,,9,مرحباً، نحن من قسم الأمان بالبنك الخاص بك، وهناك نشاط مشبوه في حسابك نحتاج إلى التحقق منه فوراً أوه، كيف ذلك؟ ماذا يجب أن أفعل؟ نحتاج منك توفير رقم هويتك ورقم الحساب للتحقق من التفاصيل والتأكد أن حسابك آمن هل هذا ضروري الآن؟ لا أملك هذه المعلومات حالياً نعم، يجب أن نقوم بذلك فورا حتى لا تتعرض لخسائر من المهم أن نحصل على هذه المعلومات بأسرع وقت ممكن حسنا، سأحاول إيجادها الآن، ولكن لا أعرف إذا كان هذا آمنا لا تقلق، نحن هنا لحمايتك وتأمين حسابك الرجاء التزويد بالبيانات لكي نؤكد سلامة حسابك سأعطيك المعلومات قريبا أتمنى فقط أن يكون كل شيء على ما يرام,مرحبًا، نحن من قسم الأمان بالبنك الخاص بك، وهناك نشاط مشبوه في حسابك نحتاج إلى التحقق منه فورًا. أوه، كيف ذلك؟ ماذا يجب أن أفعل؟ نحتاج منك توفير رقم هويتك ورقم الحساب للتحقق من التفاصيل والتأكد أن حسابك آمن. هل هذا ضروري الآن؟ لا أملك هذه المعلومات حاليًا. نعم، يجب أن نقوم بذلك فورًا حتى لا تتعرض لخسائر. من المهم أن نحصل على هذه المعلومات بأسرع وقت ممكن. حسنًا، سأحاول إيجادها الآن. ولكن لا أعرف إذا كان هذا آمنًا. لا تقلق، نحن هنا لحمايتك وتأمين حسابك. الرجاء التزويد بالبيانات لكي نؤكد سلامة حسابك. سأعطيك المعلومات قريبًا، أتمنى فقط أن يكون كل شيء على ما يرام.,0.13333333333333333
10.0,fraud_call_010.wav,synthetic,Fraud,Albatool,gulf,investment,34.3,.wav_16k_mono,"Agent: Viraj (Voice ID:P1bg08DkjqiVEzOn76yG), Victim: Ghizlane (Voice ID:u0TsaWvt0v8migutHM3M)",15.0,generated,v1.0,2025-11-08,0.8253968253968254,10,,,10,هلا والله؟ كيف الحال؟ عندي لك فرصة استثمارية ما تنفد والله زين، بس شلون؟ الموضوع بسيط، بس نحتاج بيانات حسابك البنكي عشان نبتدي أفا، بيانات حسابي، ليش بالضبط؟ هذا شي ضروري، وفوق هذا العائد مضمون ومربح مو مرتاح للفكرة، شلون أضمن إن الموضوع حقيقي؟ لا تضيع الفرصة، القرار الحين وإلا بتضيع عليك وهي مرة واحدة خلاص زين بعطيك البيانات بس خلك حذر معي,هلا والله، كيف الحال؟ عندي لك فرصة استثمارية ما تنفوت! والله زين، بس شلون؟ الموضوع بسيط، بس نحتاج بيانات حسابك البنكي عشان نبتدي. أفا! بيانات حسابي؟ ليش بالضبط؟ هذا شي ضروري، وفوق هذا العائد مضمون ومربح! مو مرتاح للفكرة... شلون أضمن إن الموضوع حقيقي؟ لا تضيع الفرصة، القرار الحين وإلا بتضيع عليك، وهي مرة وحدة! خلاص زين، بعطيك البيانات بس خلك حذر معي.,0.1746031746031746
